"region","suburb","occupation","occupation_count_2041","industry","industry_count_2041"
"Ipswich","Karana Downs","Education Professionals",245,"Computer System Design and Related Services",222
"Ipswich","Karana Downs","ICT Professionals",243,"Social Assistance Services",199
"Ipswich","Lake Manchester - England Creek","Farmers and Farm Managers",0,"Primary Metal and Metal Product Manufacturing",0
"Ipswich","Lake Manchester - England Creek","Legal, Social and Welfare Professionals",0,"Fabricated Metal Product Manufacturing",0
"Ipswich","Lake Manchester - England Creek","Automotive and Engineering Trades Workers",0,"Gas Supply",0
"Ipswich","Oxley (Qld)","Protective Service Workers",416,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",669
"Ipswich","Oxley (Qld)","Carers and Aides",407,"Public Order, Safety and Regulatory Services",403
"Ipswich","Oxley (Qld)","Design, Engineering, Science and Transport Professionals",365,"Public Administration",370
"Ipswich","Wacol","Carers and Aides",310,"Food Product Manufacturing",243
"Ipswich","Wacol","Road and Rail Drivers",169,"Construction Services",208
"Ipswich","Wacol","Factory Process Workers",150,"Food and Beverage Services",199
